parcel_id,latitude,longitude
020060055,40.4539272,-111.775
020060056,40.4537107,-111.7750021
020060057,40.4538238,-111.7758347
020140008,40.374041,-111.7955258
020140011,40.3743736,-111.7955228
020020010,40.4523005,-111.7784277
020020013,40.4525571,-111.778429
020020022,40.4540699,-111.7792583
020020024,40.4547211,-111.7781627
020070022,40.4542599,-111.7754351
020070023,40.4542616,-111.7748886
020070024,40.4551853,-111.7768934
020020076,40.4539058,-111.7783844
020020077,40.4535057,-111.7782818
020020078,40.4507886,-111.7786736
020020079,40.4531192,-111.7782591
020020080,40.4528477,-111.7782394
020020085,40.4528466,-111.77869
020230001,40.3750729,-111.800297
020230002,40.3752623,-111.8005961
020230003,40.3749653,-111.7994937
020230004,40.3749233,-111.7989699
020230005,40.3749248,-111.7992067
020030041,40.4525801,-111.7821026
020140012,40.374351,-111.7951389
020140041,40.3730984,-111.7955705
020140042,40.372894,-111.7955743
020140043,40.3729922,-111.7954804
020140056,40.3736903,-111.794828
020140058,40.3738186,-111.795529
020070025,40.4553311,-111.7761036
020070026,40.4554407,-111.7764079
020070028,40.4554431,-111.7757225
020070030,40.4544619,-111.7760063
020070031,40.4555694,-111.7775325
020070032,40.4553147,-111.7775311
020070034,40.4550921,-111.7761127
020080044,40.4530877,-111.7741474
020090004,40.457336,-111.7740821
020090005,40.4571402,-111.7741214
020030044,40.4526922,-111.780773
020030045,40.4526511,-111.7817812
020030051,40.4513897,-111.7824665
020030057,40.450478,-111.7831619
020030061,40.4519068,-111.7814304
020190012,40.3752501,-111.8061708
020190020,40.3751152,-111.8055458
020190022,40.376272,-111.8054767
020190027,40.3761877,-111.8043963
020190028,40.3763686,-111.8042457
020190029,40.3765721,-111.8041699
020190030,40.3765042,-111.8046906
020150015,40.3741613,-111.7982379
020150016,40.3739802,-111.7982399
020150017,40.3737991,-111.798242
020150018,40.374433,-111.7982348
020150019,40.3741591,-111.7979049
020150020,40.3741577,-111.7976829
020150022,40.3741576,-111.7974219
020090008,40.4571344,-111.7737778
020090022,40.456103,-111.7738521
020090026,40.4568335,-111.7740007
020090028,40.4570613,-111.7732691
020160009,40.3741357,-111.800889
020160010,40.374403,-111.8003026
020030062,40.4516512,-111.7811138
020110047,40.4560472,-111.7787927
020110049,40.4560756,-111.7791767
020110070,40.4561397,-111.7782403
020110075,40.4562476,-111.7813392
020110078,40.4563973,-111.7781237
020190031,40.376537,-111.8044779
010910153,40.3976066,-111.8403232
010910154,40.3983328,-111.8405767
010910155,40.3953456,-111.8412917
010910157,40.3951079,-111.8416552
010910158,40.3987149,-111.8387784
020150024,40.374039,-111.7963853
020230016,40.3760486,-111.800391
020230017,40.3765001,-111.8006129
020230018,40.3764045,-111.799767
